Entrez_ID	hgnc_symbol	logFC	P.Value	adj.P.Val
55847	CISD1	2.5323235876882766	9.092430501057537e-15	1.687138821045628e-12
5144	PDE4D	4.5627035866301	9.672658926571412e-15	1.772629205653866e-12
10947	AP3M2	5.453675090656635	9.783357085941082e-15	1.772629205653866e-12
123920	CMTM3	4.4546669042301685	1.0879447774382477e-14	1.9483066880612157e-12
222008	VSTM2A	-2.882885604563975	1.307298392163503e-14	2.314218682495415e-12
8313	AXIN2	5.161298005077233	1.473262790996454e-14	2.5783773004700436e-12
389816	LRRC26	-3.575815209182239	1.517543743308118e-14	2.6260327180548682e-12
57633	LRRN1	5.563059818456027	1.7419154565432198e-14	2.9808044384691254e-12
89801	PPP1R3F	3.4118093985514077	1.779832109739992e-14	3.012219156275343e-12
340554	ZC3H12B	3.9776268243271717	2.0849254405294625e-14	3.4902105119124185e-12
10486	CAP2	3.3407713438917686	2.1169362723930365e-14	3.5056919925941027e-12
10158	PDZK1IP1	-4.099491747510456	2.205465751459122e-14	3.610600435882787e-12
3222	HOXC5	4.341685452593877	2.2271738290297044e-14	3.610600435882787e-12
79690	GAL3ST4	4.968710550427655	2.3241366352592562e-14	3.706745738323653e-12
55086	RADX	-3.180760051156647	2.334616821098593e-14	3.706745738323653e-12
2623	GATA1	3.7768766618155274	2.406352890674381e-14	3.758650884487668e-12
1501	CTNND2	-3.4685099043276697	2.4256413267587508e-14	3.758650884487668e-12
56650	CLDND1	2.148346418216006	2.4405239169454374e-14	3.758650884487668e-12
80201	HKDC1	-3.749424315199896	2.6761967615523214e-14	4.0808026064027035e-12
9545	RAB3D	-2.4467530641189743	3.0345656195826955e-14	4.581896579136578e-12
3925	STMN1	3.105465129581705	3.2042850435404815e-14	4.791183879181258e-12
55917	CTTNBP2NL	2.9434409662801526	3.3527751373068476e-14	4.965008643236803e-12
5793	PTPRG	3.3135826137018647	3.485960193168479e-14	5.113073612855975e-12
1956	EGFR	-2.576107284352105	3.553648124930072e-14	5.1631825256649095e-12
5504	PPP1R2	2.6938013501053906	3.590912510250681e-14	5.168564819660816e-12
2044	EPHA5	-2.9886688274214057	3.7541375879299834e-14	5.353469721454599e-12
81618	ITM2C	2.8901044869593697	3.938630752750251e-14	5.5650323140464775e-12
145447	ABHD12B	5.164672865497056	4.004518076573056e-14	5.606689354300148e-12
2026	ENO2	5.8012165035735155	4.107951961592928e-14	5.699690825269611e-12
7350	UCP1	6.1273498684401435	4.239927049902144e-14	5.785874645750656e-12
2626	GATA4	-3.298324061047019	4.2452037852725416e-14	5.785874645750656e-12
54839	LRRC49	5.393119308296711	4.509777892138076e-14	6.0925516944577636e-12
10098	TSPAN5	5.043617876927468	4.639560217723027e-14	6.213379731578464e-12
22941	SHANK2	-4.036940481504502	4.7089317754816585e-14	6.251918816740778e-12
55512	SMPD3	4.2345735110459835	4.9858197633614585e-14	6.5629581346606685e-12
54894	RNF43	3.8018979576181504	5.2488057964750415e-14	6.8505811925010265e-12
5099	PCDH7	2.975238282532807	5.3114557435088306e-14	6.874094950065504e-12
84059	ADGRV1	4.543846407326882	5.5203469104884265e-14	7.084905230702688e-12
54908	SPDL1	3.094831832330364	5.872269411202549e-14	7.474282743961194e-12
8436	CAVIN2	3.1488557493522666	6.127837026743727e-14	7.7356408236787e-12
109	ADCY3	3.575334672284992	6.25737417166466e-14	7.834944684374589e-12
23493	HEY2	3.8856264166285186	6.405612073939867e-14	7.955873512157088e-12
5213	PFKM	2.6131149931340687	6.836206377131289e-14	8.422753153135919e-12
5010	CLDN11	5.286971701819446	6.927311590790287e-14	8.467263953155652e-12
5590	PRKCZ	3.262731741983991	6.992961167536157e-14	8.480204326080657e-12
440603	BCL2L15	-3.078628443849663	7.79674461815922e-14	9.381067489396105e-12
3281	HSBP1	2.04768769955108	7.974696127782671e-14	9.520798066975265e-12
3305	HSPA1L	3.3791291377553163	8.450553677657721e-14	9.92835979335261e-12
8871	SYNJ2	-2.5276467768740885	8.500967132404183e-14	9.92835979335261e-12
400043	LINC02381	4.306819040273561	8.509470117021912e-14	9.92835979335261e-12
163183	SYNE4	-2.7068931132411818	8.732125393347281e-14	1.0111538585183569e-11
1187	CLCNKA	-2.863799001647884	8.841896752341819e-14	1.0162242677822116e-11
58495	OVOL2	-4.792094039453392	9.228452572592267e-14	1.0527955412629147e-11
9576	SPAG6	6.744564856555326	1.0444448933730484e-13	1.1827570443263471e-11
90362	FAM110B	6.164421082973623	1.0567850463750699e-13	1.1879960948337556e-11
11116	CEP43	2.0286802800968893	1.1119195679601426e-13	1.2409183526198664e-11
6885	MAP3K7	2.6188823915262374	1.1353759911622594e-13	1.2579802618625869e-11
6009	RHEB	2.1200858167347256	1.1556888160767664e-13	1.2713402468855913e-11
7122	CLDN5	6.719286177214339	1.1661718914038827e-13	1.2737739928731345e-11
145200	LINC00239	-2.6628314256853702	1.1839994465902537e-13	1.2841391180941194e-11
83693	HSDL1	4.466089558993163	1.2065726027713057e-13	1.2911418167793387e-11
51700	CYB5R2	5.487868631221587	1.2105114105477486e-13	1.2911418167793387e-11
638	BIK	4.936783390681279	1.215606541347991e-13	1.2911418167793387e-11
3175	ONECUT1	-3.618041232826825	1.224981931400237e-13	1.2921881318832225e-11
55223	TRIM62	2.5903506762951416	1.2364907846713668e-13	1.2954554132465115e-11
8760	CDS2	2.2146492286749275	1.2929111767735926e-13	1.3454138536141958e-11
2593	GAMT	-2.6835220333219336	1.3203362729184756e-13	1.3559325974746468e-11
65997	RASL11B	5.5640817203222	1.3206278139159602e-13	1.3559325974746468e-11
81493	SYNC	3.785490339780491	1.3694863833194216e-13	1.3967854165233386e-11
22884	WDR37	2.4370286603819213	1.4212593417428806e-13	1.4350890140239242e-11
114880	OSBPL6	4.001374167443394	1.4256776777200207e-13	1.4350890140239242e-11
22858	CILK1	3.5392413078136036	1.449668267822729e-13	1.4497624021258346e-11
64393	ZMAT3	3.0398992865761674	1.4756302457171367e-13	1.4662052525348142e-11
79869	CPSF7	-3.11144258905228	1.4998469346006236e-13	1.4663409793335443e-11
1101	CHAD	-3.4635951200186605	1.5021135050645395e-13	1.4663409793335443e-11
79822	ARHGAP28	-2.921279909037927	1.5043300742464775e-13	1.4663409793335443e-11
29110	TBK1	1.9799440880644763	1.572364558478472e-13	1.5227570226615252e-11
5168	ENPP2	4.299176318297581	1.5819824922137788e-13	1.5227570226615252e-11
154215	NKAIN2	5.684736693311616	1.6162973093978338e-13	1.5366842561317714e-11
11248	NXPH3	3.0126875612170014	1.616407048200422e-13	1.5366842561317714e-11
23046	KIF21B	4.140577439039493	1.7321680952408564e-13	1.6366331800493516e-11
25778	DSTYK	2.702425561961544	1.9602652423104445e-13	1.8408564022453145e-11
57689	LRRC4C	4.242566051864731	2.0000711745426787e-13	1.8652327972715145e-11
10840	ALDH1L1	-4.596986068255037	2.0104450642625245e-13	1.8652327972715145e-11
22921	MSRB2	3.3546549153880516	2.0242764661759323e-13	1.866819272788954e-11
375757	SWI5	3.273484317646714	2.1224268754829336e-13	1.9456843041257536e-11
55195	CCDC198	-4.689084176939724	2.1755010587339132e-13	1.9718179922757742e-11
83539	CHST9	-3.7138057703737086	2.1765408654430337e-13	1.9718179922757742e-11
7780	SLC30A2	-3.6584546079764033	2.2028753188965924e-13	1.9790993454879267e-11
121601	ANO4	4.335971013609321	2.2102791209916458e-13	1.9790993454879267e-11
80777	CYB5B	2.2093241987185372	2.2337325523996756e-13	1.9885384415900234e-11
11052	CPSF6	2.336229417488477	2.263322643453865e-13	1.9925398111188266e-11
79798	ARMC5	4.644351959085633	2.2641027657021922e-13	1.9925398111188266e-11
57643	ZSWIM5	2.952328028593757	2.2953982064366305e-13	2.00860385098469e-11
63897	HEATR6	3.077943764796858	2.4688775012499756e-13	2.1482023952966596e-11
51200	CPA4	-2.81783287811	2.5086139225408844e-13	2.1705147764636044e-11
4097	MAFG	2.316341792205682	2.6645190032176763e-13	2.292528333438851e-11
22979	EFR3B	2.7044535047671774	3.0535582669609985e-13	2.612658381637019e-11
130574	LYPD6	4.681520626461925	3.2356998198125593e-13	2.7532051339742115e-11
10655	DMRT2	3.4867429619684334	3.4261536584404116e-13	2.8992413458044387e-11
91862	MARVELD3	-4.228987845205844	3.473788727356509e-13	2.923487442077464e-11
84951	TNS4	-5.71285527640978	3.604788775500943e-13	3.0172473875809795e-11
7621	ZNF70	-3.617530791469467	3.702299048510481e-13	3.082113926816752e-11
6926	TBX3	3.9071918152150156	3.819884201730494e-13	3.162905193056523e-11
57348	TTYH1	-3.9994833423544858	4.137723671683424e-13	3.4077584100318934e-11
8715	NOL4	-2.5622671772473593	4.2045451169053286e-13	3.444372305609519e-11
54675	CRLS1	2.4436466765841534	4.232805075175626e-13	3.449176241416921e-11
762	CA4	3.295398057935726	4.3500595970741495e-13	3.5260667291862614e-11
8880	FUBP1	2.4760745259497856	4.431624574509837e-13	3.573374349320733e-11
6649	SOD3	-4.438312353792448	4.601306391470192e-13	3.690870819532939e-11
59348	ZNF350	2.3310363122395286	4.726200582423046e-13	3.771410112429913e-11
2257	FGF12	-2.7855902485792026	5.066878618417968e-13	4.022422556817275e-11
84063	KIRREL2	-4.1157473156562245	5.196987826014983e-13	4.1045543337670134e-11
23682	RAB38	4.138776350672911	5.223897044799217e-13	4.104757060558813e-11
401236	STMND1	-3.3704310775932527	5.278029926558008e-13	4.126240553244664e-11
5138	PDE2A	4.561502141646337	5.512426810749599e-13	4.287721480421948e-11
90293	KLHL13	-2.5505503496576933	5.684501837502028e-13	4.393861376948721e-11
79739	TTLL7	3.510338973125519	5.705942960780106e-13	4.393861376948721e-11
10579	TACC2	-3.3162053599276655	5.885967418074961e-13	4.509939512724998e-11
401431	ATP6V0E2-AS1	3.7699312016645248	6.004186399200002e-13	4.574156918643646e-11
23657	SLC7A11	3.116826264541676	6.029178978538147e-13	4.574156918643646e-11
655	BMP7	4.618359627172328	6.343335459252711e-13	4.7889073239191666e-11
1365	CLDN3	-4.423303527543218	6.481184531663425e-13	4.869108437665775e-11
388610	TRNP1	-4.117257358895267	6.847191056982251e-13	5.11589683135787e-11
125919	ZNF543	2.5857869598086856	6.876116122921103e-13	5.11589683135787e-11
91775	NXPE3	3.4678077000104865	6.950916398392479e-13	5.146685742867431e-11
79070	POGLUT2	2.356375104859559	7.042156524180036e-13	5.1892943841577394e-11
920	CD4	4.294050892417637	7.317320963708591e-13	5.366383817241715e-11
