Entrez_ID	hgnc_symbol	logFC	P.Value	adj.P.Val
79888	LPCAT1	-3.461738408686505	1.4611092878192056e-9	3.3724489661849863e-7
342667	STAC2	-2.819893984108085	1.5451960901611014e-9	3.516300454751115e-7
253832	ZDHHC20	-2.501072306511294	1.621493383022713e-9	3.6386761929858296e-7
7134	TNNC1	-2.4417765449063875	1.6683407129153126e-9	3.692517931311329e-7
84779	NAA11	2.1238589517262807	1.8305927659678706e-9	3.9968766648301197e-7
93661	CAPZA3	-2.650814074472156	1.8609918322815416e-9	4.0090726712230493e-7
51280	GOLM1	-3.2857154294180284	2.0663782541445652e-9	4.3669771658877876e-7
10615	SPAG5	-2.459823103716937	2.081186122258833e-9	4.3669771658877876e-7
885	CCK	-2.172786333582268	2.1973490425781718e-9	4.546323455104077e-7
23315	SLC9A8	-3.935855126286917	2.2392028302114806e-9	4.546323455104077e-7
55084	SOBP	-3.0503540763425057	2.262905446598594e-9	4.546323455104077e-7
390882	OR7G2	3.1196937519979167	2.2961061727695532e-9	4.546323455104077e-7
138805	OR13F1	-2.331380139146915	2.3325100093834048e-9	4.546323455104077e-7
119682	OR51L1	-2.9504705082931912	2.335488313261363e-9	4.546323455104077e-7
84517	ACTRT3	-1.9550992896159733	2.4815163320918516e-9	4.732036455119732e-7
8351	H3C4	-4.127301724753196	2.4894664769770206e-9	4.732036455119732e-7
54801	HAUS6	3.966777539685145	2.52016675301191e-9	4.734690026559701e-7
9778	KIAA0232	4.154220044531741	2.6316874055624836e-9	4.887376254215293e-7
90060	CCDC120	3.075693470860505	2.766044524360415e-9	5.078520611374003e-7
84203	TXNDC2	-2.1242039633416177	2.8429214876219217e-9	5.161020502865999e-7
973	CD79A	-2.4895841452967935	2.8975277968580563e-9	5.194987779274087e-7
100506658	OCLN	-2.524696150656646	2.947638330991123e-9	5.194987779274087e-7
80790	CMIP	-2.494659929472219	2.958091698293099e-9	5.194987779274087e-7
150280	HORMAD2	5.136033656494924	3.0413193349851108e-9	5.283720053263917e-7
55750	AGK	-4.72598147029389	3.108279259909833e-9	5.342602978974805e-7
1208	CLPS	1.9963641673944892	3.188810793382982e-9	5.375506484864166e-7
7561	ZNF14	3.4932018606799	3.1939631277276717e-9	5.375506484864166e-7
9473	THEMIS2	-1.9992386600493	3.236338627779994e-9	5.39067249577746e-7
2956	MSH6	3.4986374082293215	3.324343555840956e-9	5.480757023645136e-7
79944	L2HGDH	3.5177113160346485	3.429102520680821e-9	5.596364588549498e-7
84290	CAPNS2	-3.507480578234359	3.485959617160075e-9	5.632264953445532e-7
4701	NDUFA7	-1.8460026014263964	3.6811842260866833e-9	5.838601389872901e-7
166863	RBM46	2.9717664178971783	3.7085642031049092e-9	5.838601389872901e-7
114571	SLC22A9	-2.1186397838958837	3.7220767664597935e-9	5.838601389872901e-7
55721	IQCC	3.3986076701681673	3.93055838033446e-9	6.046781155967996e-7
247	ALOX15B	3.0305839415460594	3.947567026182704e-9	6.046781155967996e-7
1200	TPP1	-1.9664870869469733	3.973330666807014e-9	6.046781155967996e-7
26083	NA	4.0697567674258295	4.004490831766885e-9	6.046781155967996e-7
9843	HEPH	4.209606064992194	4.1561138328901686e-9	6.217623259074671e-7
152756	FAM218A	-1.7995843640554947	4.234235962765449e-9	6.276380775266179e-7
6613	SUMO2	2.5974324011012886	4.369349037702409e-9	6.417779309287074e-7
25771	TBC1D22A	-2.0063317290451224	4.531281010683211e-9	6.576698502091419e-7
25819	NOCT	-2.444755663874095	4.558954213246512e-9	6.576698502091419e-7
57513	CASKIN2	1.7211724645780802	4.6023824039480635e-9	6.58059225668928e-7
7511	XPNPEP1	1.7969132391043188	4.6535453041642006e-9	6.595379954331666e-7
8712	PAGE1	-3.0684502885788336	4.7202656649667865e-9	6.63176803033638e-7
25885	POLR1A	-2.971345763095741	4.990014067990008e-9	6.886991172494877e-7
10602	CDC42EP3	-3.1333532058452906	5.004693549703903e-9	6.886991172494877e-7
5985	RFC5	2.01423712233057	5.029801066747511e-9	6.886991172494877e-7
114883	OSBPL9	3.2142420105594636	5.274474117992351e-9	7.128248419582787e-7
55668	GPATCH2L	-4.131214476554832	5.2942366178741995e-9	7.128248419582787e-7
57231	SNX14	-4.0672967999665115	5.500908621233511e-9	7.302985812938124e-7
51059	FAM135B	-2.43897868842953	5.54513846531127e-9	7.302985812938124e-7
6283	S100A12	3.301736014200157	5.55961660575224e-9	7.302985812938124e-7
717	C2	3.6220344757790093	5.613302734811441e-9	7.314042926318424e-7
55056	GABPB1-IT1	1.856149822610763	5.723016350213064e-9	7.318856605975981e-7
91151	TIGD7	-4.09987458481294	5.724312025854011e-9	7.318856605975981e-7
7447	VSNL1	4.4702578529487145	5.807595452175039e-9	7.318856605975981e-7
6505	SLC1A1	-3.5745543819791203	5.8204627385195334e-9	7.318856605975981e-7
23200	ATP11B	-3.4991331499958256	5.843488903700572e-9	7.318856605975981e-7
996	CDC27	-2.236190490156429	5.922446750231047e-9	7.360690164883309e-7
2762	GMDS	-1.5869500738932303	6.01595140128423e-9	7.419826472561016e-7
9860	LRIG2	-2.3139966153918072	6.1792932453100905e-9	7.497343836141531e-7
23137	SMC5	-3.9815130596347887	6.1816484404545326e-9	7.497343836141531e-7
8237	USP11	-2.914799090234424	6.218011227597729e-9	7.497343836141531e-7
2745	GLRX	2.2548952505042434	6.373752816480029e-9	7.56256745281008e-7
11129	CLASRP	-4.601747228146226	6.404255294579519e-9	7.56256745281008e-7
5250	SLC25A3	1.6046064339474424	6.430474317888426e-9	7.56256745281008e-7
