MIMAT_ID	logFC	P.Value	adj.P.Val
MIMAT0000261	3.578775291185048	6.224993459114672e-7	1.892113655593258e-5
MIMAT0002813	-1.1476614094451723	6.456820740044705e-7	1.892113655593258e-5
MIMAT0016895	0.6643642054870552	6.461561110414987e-7	1.892113655593258e-5
MIMAT0000729	-3.0074158261893436	7.991606216015345e-7	2.2427898766932427e-5
MIMAT0004954	-0.63907032751403	7.992124282203091e-7	2.2427898766932427e-5
MIMAT0004558	1.0385709999227475	8.656014311957529e-7	2.379520669021794e-5
MIMAT0002175	-0.2882034946393403	9.496938498497533e-7	2.5584752314952357e-5
MIMAT0000728	-5.546612294313523	1.170383335639173e-6	3.0911889276587565e-5
MIMAT0000256	2.1202087591966206	1.2211203364894028e-6	3.163171333175434e-5
MIMAT0002807	0.5270393502219788	1.4371499931380653e-6	3.652530265579196e-5
MIMAT0000273	-5.020741936550113	1.651477097894396e-6	4.11951787196991e-5
MIMAT0004598	-0.7239529826340895	1.7755403202860379e-6	4.3484596571368964e-5
MIMAT0004543	-0.8986868115118198	1.9198810504388606e-6	4.617999598109188e-5
MIMAT0004959	-3.945474141777101	2.101458928984934e-6	4.9660792584959756e-5
MIMAT0005949	1.3734086185160412	2.2914916343999985e-6	5.321791778511721e-5
MIMAT0000689	1.936278126993964	2.580326301262463e-6	5.8910161488144705e-5
MIMAT0000257	1.8503653751065425	3.1155730612919666e-6	6.994461522600464e-5
MIMAT0002823	1.2425790738151767	3.2061585112106963e-6	7.079828712460341e-5
MIMAT0016876	1.6181268391826802	3.379612267153655e-6	7.342480199767699e-5
MIMAT0004797	0.5149743440659903	3.954943962050452e-6	8.456046852193585e-5
MIMAT0004673	1.6303310545736167	4.096879734127126e-6	8.622651565420686e-5
MIMAT0016922	1.5900380202765054	4.23512824098696e-6	8.776488831706823e-5
MIMAT0000274	-4.133304762135037	4.3718361766749575e-6	8.922520196941164e-5
MIMAT0002817	-1.1999342896157952	4.472094992679126e-6	8.99091336587878e-5
MIMAT0000264	-0.8052294547477082	4.545066982007567e-6	9.003242977594401e-5
MIMAT0003283	0.5473826816382119	4.718905034688054e-6	9.212123306847548e-5
MIMAT0003879	-0.5810711557101343	5.8571767210355645e-6	1.1119896589859566e-4
MIMAT0004951	0.9342013219787658	5.861266947884404e-6	1.1119896589859566e-4
MIMAT0000093	1.582120086851939	6.179696701140334e-6	1.1561182578383374e-4
MIMAT0004552	1.3918192992729093	6.4749994989763125e-6	1.1947704554960403e-4
MIMAT0002172	-0.9707993919518659	7.387111654974398e-6	1.344653972871691e-4
MIMAT0000450	1.5972340400454572	8.985964235393036e-6	1.6138791766765893e-4
MIMAT0004695	-1.4039980655350088	1.0064887937390309e-5	1.7838689541664138e-4
MIMAT0005950	0.4926471365077594	1.029420334168602e-5	1.8008171300326064e-4
MIMAT0003332	-0.3049336273624585	1.1824276579953377e-5	2.0311630806113377e-4
MIMAT0001627	-0.23586704342085038	1.1912537740779189e-5	2.0311630806113377e-4
MIMAT0000095	3.0079891882611545	1.2976863557389536e-5	2.184979401475463e-4
MIMAT0005951	0.5750787853588364	1.3452187428604788e-5	2.237048946460574e-4
MIMAT0000443	2.104208980736586	1.4987373814496083e-5	2.461950308308076e-4
MIMAT0003163	-0.47284546849868175	1.5471337272282187e-5	2.510830277802904e-4
MIMAT0003180	-1.3196951848877456	1.702822078858204e-5	2.73059683359762e-4
MIMAT0004953	0.7603939197167224	1.770795591062197e-5	2.806190189600917e-4
MIMAT0000755	-0.5738557735975507	1.8172112619208916e-5	2.815024379605693e-4
MIMAT0005878	0.6965764861497957	1.818167193954679e-5	2.815024379605693e-4
MIMAT0003233	-1.3899248244068227	1.9291296856632004e-5	2.9528837347594667e-4
MIMAT0005798	-0.3275392982138566	2.3530022544207905e-5	3.5612292547245e-4
MIMAT0000680	1.2867333452384397	2.4132900378159364e-5	3.611890756597852e-4
MIMAT0006017	0.8653549787389493	2.5121735273535337e-5	3.718568946533198e-4
MIMAT0000270	1.433493193718169	2.602288522275524e-5	3.810089825549055e-4
MIMAT0000260	0.6635397422397465	2.670674419344568e-5	3.8495132147110117e-4
MIMAT0002820	1.495676964414728	2.6980903641975445e-5	3.8495132147110117e-4
MIMAT0004548	-0.720404836481107	2.7149499287122948e-5	3.8495132147110117e-4
MIMAT0004550	-0.6236852209504166	2.8776511715867244e-5	4.0377043001326227e-4
MIMAT0000252	-2.552033658875584	3.173248894181515e-5	4.40656315511598e-4
MIMAT0018443	0.8326895954986636	3.5113177600173806e-5	4.826270431370828e-4
MIMAT0001620	-0.3737564724818784	3.959996176217424e-5	5.387994797338252e-4
MIMAT0016886	0.8410493352460046	4.6040123704910756e-5	6.20160466305148e-4
MIMAT0000761	2.0755709114580374	5.0615377778194966e-5	6.750387511606794e-4
MIMAT0004515	0.31706475488959357	6.037171467755026e-5	7.972617614770607e-4
MIMAT0000079	1.3418097856625986	6.816625272014762e-5	8.809781360617928e-4
MIMAT0003266	1.4625899248238607	6.837145734323358e-5	8.809781360617928e-4
MIMAT0004819	0.18581115240516716	6.86731286462422e-5	8.809781360617928e-4
MIMAT0000752	1.0323866595469022	7.84021049452175e-5	9.962984468038488e-4
MIMAT0000459	-1.6802837832165307	7.983925410650033e-5	0.0010050792082379062
MIMAT0003304	0.21513018706857745	8.959755810292981e-5	0.001117480655228208
MIMAT0004605	-1.4873213864382022	9.389797060799747e-5	0.0011603721688896568
MIMAT0000439	1.8949652818548237	9.974804515002805e-5	0.0012128115118183191
MIMAT0000431	1.514000478458358	1.0008105707449611e-4	0.0012128115118183191
MIMAT0000456	1.0319031190715364	1.0084253104948163e-4	0.0012128115118183191
MIMAT0004921	-0.2571677268330889	1.0599130139249868e-4	0.001263453831643325
MIMAT0000088	-1.6345706389353232	1.3770662390485093e-4	0.001627112477191528
MIMAT0000688	2.248271403840804	1.3921378187735744e-4	0.0016306170799026127
MIMAT0002811	1.7903299939806345	1.4151706567563425e-4	0.0016399761811830365
MIMAT0016890	0.9505499175821259	1.4348428595629533e-4	0.0016399761811830365
MIMAT0000090	1.2637159360865042	1.4366532247928605e-4	0.0016399761811830365
MIMAT0004678	-0.2741879773646685	1.5003211583334945e-4	0.0016982626893069053
