
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	18
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	466	Common down-regulated transcripts in fibroblasts expressing either XP/CS or TDD mutant forms of ERCC3 [GeneID=2071], after UVC irradiation.	6	0.0129	2.36E-8	1.06E-4
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	854	Genes down-regulated in fibroblasts expressing mutant forms of ERCC3 [GeneID=2071] after UV irradiation.	7	0.0082	2.79E-8	1.06E-4
KEGG_ERBB_SIGNALING_PATHWAY	87	ErbB signaling pathway	4	0.0460	4.38E-8	1.06E-4
WP_ERBB_SIGNALING	92	ErbB signaling	4	0.0435	5.49E-8	1.06E-4
DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP	1389	Genes up-regulated in CD34+ [GeneID=947] cells isolated from bone marrow of CML (chronic myelogenous leukemia) patients, compared to those from normal donors.	7	0.0050	7.53E-7	8.37E-4
WP_PLEURAL_MESOTHELIOMA	439	Pleural mesothelioma	5	0.0114	7.67E-7	8.37E-4
WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING	45	Thymic stromal lymphopoietin (TSLP) signaling	3	0.0667	8.22E-7	8.37E-4
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	454	Diseases of signal transduction by growth factor receptors and second messengers	5	0.0110	9.05E-7	8.37E-4
REACTOME_SIGNALING_BY_INTERLEUKINS	461	Signaling by Interleukins	5	0.0108	9.76E-7	8.37E-4
REACTOME_ESR_MEDIATED_SIGNALING	220	ESR-mediated signaling	4	0.0182	1.81E-6	1.27E-3


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	KEGG_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING	DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP	WP_PLEURAL_MESOTHELIOMA	WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_ESR_MEDIATED_SIGNALING
4609	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	KEGG_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING	DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP	WP_PLEURAL_MESOTHELIOMA	WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_ESR_MEDIATED_SIGNALING
9425	CDYL	chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN			DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP					
3796	KIF2A	kinesin family member 2A [Source:HGNC Symbol;Acc:HGNC:6318]	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN			DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP					
23512	SUZ12	SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN				WP_PLEURAL_MESOTHELIOMA				
1843	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN								
23035	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN								
9839	ZEB2	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]		DACOSTA_UV_RESPONSE_VIA_ERCC3_DN			DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP					
5601	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]			KEGG_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING		WP_PLEURAL_MESOTHELIOMA	WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_SIGNALING_BY_INTERLEUKINS	
685	BTC	betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]			KEGG_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING		WP_PLEURAL_MESOTHELIOMA		REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS		REACTOME_ESR_MEDIATED_SIGNALING
