
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	36
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
HALLMARK_HYPOXIA	200	Genes up-regulated in response to low oxygen levels (hypoxia).	8	0.0400	4.52E-12	3.49E-8
WP_HALLMARK_OF_CANCER_SUSTAINING_PROLIFERATIVE_SIGNALING	98	Hallmark of cancer: sustaining proliferative signaling	6	0.0612	2E-10	6.48E-7
WP_CANCER_PATHWAYS	507	Cancer pathways	9	0.0178	2.52E-10	6.48E-7
PID_PS1_PATHWAY	46	Presenilin action in Notch and Wnt signaling	5	0.1087	3.79E-10	7.31E-7
WINTER_HYPOXIA_METAGENE	243	Genes regulated by hypoxia, based on literature searches.	7	0.0288	1.09E-9	1.69E-6
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY	19	Pathway Definition from KEGG: (NNK,NNN) -> CHRN -> Ca2+ -> RAS -> RAF -> MEK -> ERK -> (FOS,JUN,MYC,BCL2)	4	0.2105	1.49E-9	1.91E-6
BLALOCK_ALZHEIMERS_DISEASE_UP	1660	Genes up-regulated in brain from patients with Alzheimer's disease.	12	0.0072	4.63E-9	5.1E-6
KRIEG_HYPOXIA_NOT_VIA_KDM3A	746	Genes induced under hypoxia independently of KDM3A [GeneID=55818] in RCC4 cells (renal carcinoma) expressing VHL [GeneID=7428].	9	0.0121	7.29E-9	7E-6
KEGG_PATHWAYS_IN_CANCER	325	Pathways in cancer	7	0.0215	8.16E-9	7E-6
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	792	Cytokine Signaling in Immune system	9	0.0114	1.22E-8	9.42E-6


Gene/Gene Set Overlap Matrix

10555	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]							BLALOCK_ALZHEIMERS_DISEASE_UP			
8445	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]								KRIEG_HYPOXIA_NOT_VIA_KDM3A		
29775	CARD10	caspase recruitment domain family member 10 [Source:HGNC Symbol;Acc:HGNC:16422]								KRIEG_HYPOXIA_NOT_VIA_KDM3A		
30846	EHD2	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]								KRIEG_HYPOXIA_NOT_VIA_KDM3A		
5034	P4HB	prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]										REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
5045	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]										REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
1968	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]										REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
4499	MT1M	metallothionein 1M [Source:HGNC Symbol;Acc:HGNC:14296]										
23576	DDAH1	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]										
5347	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]										
5583	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]										
6279	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]										
2494	NR5A2	nuclear receptor subfamily 5 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7984]										
161882	ZFPM1	zinc finger protein, FOG family member 1 [Source:HGNC Symbol;Acc:HGNC:19762]										
9537	TP53I11	tumor protein p53 inducible protein 11 [Source:HGNC Symbol;Acc:HGNC:16842]										
28987	NOB1	NIN1 (RPN12) binding protein 1 homolog [Source:HGNC Symbol;Acc:HGNC:29540]										
83998	REG4	regenerating family member 4 [Source:HGNC Symbol;Acc:HGNC:22977]										
