
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	114
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	792	Cytokine Signaling in Immune system	26	0.0328	2.59E-21	2E-17
WP_PLEURAL_MESOTHELIOMA	439	Pleural mesothelioma	20	0.0456	2.85E-19	1.1E-15
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	920	Cellular responses to stimuli	25	0.0272	1.47E-18	3.77E-15
WP_CANCER_PATHWAYS	507	Cancer pathways	20	0.0394	4.68E-18	9.04E-15
REACTOME_SIGNALING_BY_INTERLEUKINS	461	Signaling by Interleukins	19	0.0412	1.53E-17	2.36E-14
WINTER_HYPOXIA_METAGENE	243	Genes regulated by hypoxia, based on literature searches.	15	0.0617	1.23E-16	1.59E-13
HALLMARK_HYPOXIA	200	Genes up-regulated in response to low oxygen levels (hypoxia).	14	0.0700	2.32E-16	2.56E-13
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	532	Signaling by Receptor Tyrosine Kinases	18	0.0338	3.51E-15	3.38E-12
WP_INSULIN_SIGNALING	160	Insulin signaling	11	0.0688	5.18E-13	4.17E-10
WP_GASTRIN_SIGNALING	115	Gastrin signaling	10	0.0870	5.75E-13	4.17E-10


Gene/Gene Set Overlap Matrix

2353	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM		REACTOME_CELLULAR_RESPONSES_TO_STIMULI	WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS	WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_INSULIN_SIGNALING	WP_GASTRIN_SIGNALING
5034	P4HB	prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM		REACTOME_CELLULAR_RESPONSES_TO_STIMULI		REACTOME_SIGNALING_BY_INTERLEUKINS					
10381	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM		REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
1968	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM		REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
5611	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM		REACTOME_CELLULAR_RESPONSES_TO_STIMULI							
5292	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM			WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS	WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA			
867	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM			WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS			REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_INSULIN_SIGNALING	
3717	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM			WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS			REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		WP_GASTRIN_SIGNALING
6775	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM			WP_CANCER_PATHWAYS	REACTOME_SIGNALING_BY_INTERLEUKINS					
10018	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM			WP_CANCER_PATHWAYS						
